date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:07:38	2262871/2262871	---M--	200	added ('OK')	image/png	etag:%22797f87e55a4af4dad45e0544a831b5f8%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Staging+%26+Styling_v2-2880w.png	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Staging+&+Styling_v2-2880w.png	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:39	93172/93172	---M--	200	added ('OK')	image/jpg	etag:%2225921f2da4a23bfe9f9ba75ff407bf31%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/CT4A8859-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/CT4A8859-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:40	90981/90981	---M--	200	added ('OK')	image/jpg	etag:%22eb89d80d1255499e8dbcbb35b859aebb%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/CT4A8854-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/CT4A8854-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:41	77554/77554	---M--	200	added ('OK')	image/jpg	etag:%228271d34d0cc647fade95bdad5e531c71%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/06+-+Living-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/06+-+Living-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:41	74657/74657	---M--	200	added ('OK')	image/jpg	etag:%2276034d2088dc371c37e376ec6d5fc452%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/007-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/007-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:43	167619/167619	---M--	200	added ('OK')	image/jpg	etag:%2295f5a700db35a91376d34f0f4fafe79e%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9174-1421837-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9174-1421837-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:43	76940/76940	---M--	200	added ('OK')	image/jpg	etag:%22c093792887fcb32a441c5b715c7a1dca%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/08+-+Living-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/08+-+Living-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:44	86476/86476	---M--	200	added ('OK')	image/jpg	etag:%2271cce73da7c31cee6377a94927ca2e8f%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/09+-+Meals-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/09+-+Meals-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:45	76334/76334	---M--	200	added ('OK')	image/jpg	etag:%22c39331ea45e283c65fbec09e23cc2893%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/014-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/014-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:47	234869/234869	---M--	200	added ('OK')	image/jpg	etag:%22c55fb269d934d9cab20b4be3ee644145%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9052-1421810-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9052-1421810-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:48	195075/195075	---M--	200	added ('OK')	image/jpg	etag:%221eb229b725e0ada57d4a416b179a327f%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9183-1421818-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9183-1421818-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:49	270882/270882	---M--	200	added ('OK')	image/jpg	etag:%2288799ec62c1c7f643555f8fca484ccea%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9043-1421804-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/_MG_9043-1421804-1920w.jpg	(from https://www.vapropertygroup.com.au/interior-staging-and-styling)
00:07:50	327107/327107	---M--	200	added ('OK')	image/png	etag:%220056f0314600176112dae2b777cae4a5%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Property+Management_v2-1920w.png	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Property+Management_v2-1920w.png	(from https://www.vapropertygroup.com.au/property-management)
00:07:51	327107/327107	---M--	200	added ('OK')	image/png	etag:%220056f0314600176112dae2b777cae4a5%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Property+Management_v2-2880w.png	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Property+Management_v2-2880w.png	(from https://www.vapropertygroup.com.au/property-management)
00:07:52	327107/327107	---M--	200	added ('OK')	image/png	etag:%220056f0314600176112dae2b777cae4a5%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Property+Management_v2-1680w.png	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Property+Management_v2-1680w.png	(from https://www.vapropertygroup.com.au/property-management)
00:07:53	93745/93745	---M--	200	added ('OK')	image/jpeg	etag:%22660bfe7d3ab5e401691d01a2759ec943%22	https://irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Short+Term+Rental+Management.jpg	T:/VA%20PROPERTY/new/irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Short+Term+Rental+Management.jpg	(from https://www.vapropertygroup.com.au/short-term-rental-management)
00:07:53	87744/87744	---M--	200	added ('OK')	image/jpg	etag:%2257243757ba4902c372c32d4ad53a9f8a%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Short+Term+Rental+Management-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Short+Term+Rental+Management-1920w.jpg	(from https://www.vapropertygroup.com.au/short-term-rental-management)
00:07:54	87744/87744	---M--	200	added ('OK')	image/jpg	etag:%2257243757ba4902c372c32d4ad53a9f8a%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Short+Term+Rental+Management-2880w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Short+Term+Rental+Management-2880w.jpg	(from https://www.vapropertygroup.com.au/short-term-rental-management)
00:07:55	87744/87744	---M--	200	added ('OK')	image/jpg	etag:%2257243757ba4902c372c32d4ad53a9f8a%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Short+Term+Rental+Management-1680w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Short+Term+Rental+Management-1680w.jpg	(from https://www.vapropertygroup.com.au/short-term-rental-management)
00:07:57	175772/175772	---M--	200	added ('OK')	image/jpeg	etag:%22afd36e30c9e8c863c0481698d780ae1b%22	https://irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Kitchen+After-abfed38a.jpg	T:/VA%20PROPERTY/new/irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Kitchen+After-abfed38a.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:07:57	164961/164961	---M--	200	added ('OK')	image/jpg	etag:%22f4fd572448fa5b2334c6de2d55e21c78%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-abfed38a-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-abfed38a-1920w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:07:58	164961/164961	---M--	200	added ('OK')	image/jpg	etag:%22f4fd572448fa5b2334c6de2d55e21c78%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-abfed38a-2880w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-abfed38a-2880w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:07:59	233745/233745	---M--	200	added ('OK')	image/jpg	etag:%2221e70ebae08c19008947cacc309d7923%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Woodland+Hero-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Woodland+Hero-1920w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:08:02	247548/247548	---M--	200	added ('OK')	image/jpg	etag:%2220f7a91c0d17fef0c8bb716f19f6d3d7%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Living+and+Kitchen-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Living+and+Kitchen-1920w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:08:02	213008/213008	---M--	200	added ('OK')	image/jpg	etag:%2200c53c0bec72eda3a1f6b474806f9d36%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Tub+After-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Tub+After-1920w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:08:03	188964/188964	---M--	200	added ('OK')	image/jpg	etag:%227a97cbf16386f812ae2d671ea71a36ae%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Bathroom+After-0967953d-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Bathroom+After-0967953d-1920w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:08:04	199360/199360	---M--	200	added ('OK')	image/jpg	etag:%222fe18323544a0fbcb4acf0e6d2b6cb08%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+and+Living+After-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+and+Living+After-1920w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:08:05	80244/80244	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2006:34:41%20GMT	https://irp-cdn.multiscreensite.com/WIDGET_CSS/production_1229/563d990829a390e58b0da4e50d42d8f2.css	T:/VA%20PROPERTY/new/irp-cdn.multiscreensite.com/WIDGET_CSS/production_1229/563d990829a390e58b0da4e50d42d8f2.css	(from https://www.vapropertygroup.com.au/e44)
00:08:05	391654/391654	---M--	200	added ('OK')	image/jpg	etag:%22d7a93507e6057cf11f74a97e5ff6cd14%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Front+After-78b74ae8-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Front+After-78b74ae8-1920w.jpg	(from https://www.vapropertygroup.com.au/property-sales)
00:08:06	80435/80435	---M--	200	added ('OK')	image/jpeg	etag:%2248811670f2740dd041df1f32a2d5dfeb%22	https://irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Kitchen+After.jpg	T:/VA%20PROPERTY/new/irp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/Kitchen+After.jpg	(from https://www.vapropertygroup.com.au/e44)
00:08:07	75082/75082	---M--	200	added ('OK')	image/jpg	etag:%22515543e6729153ea7a44f7ed3ddaa194%22	https://lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-1920w.jpg	T:/VA%20PROPERTY/new/lirp-cdn.multiscreensite.com/fe8b2e15/dms3rep/multi/opt/Kitchen+After-1920w.jpg	(from https://www.vapropertygroup.com.au/e44)
